Cód_Municipio;Nome_Municipio; ISDEL 
3500105;Adamantina; 0,4285 
3500204;Adolfo; 0,3437 
3500303;Aguaí; 0,3327 
3500709;Agudos; 0,3943 
3500758;Alambari; 0,3491 
3500808;Alfredo Marcondes; 0,3297 
3500907;Altair; 0,3149 
3501004;Altinópolis; 0,3979 
3501103;Alto Alegre; 0,3614 
3501152;Alumínio; 0,3110 
3501509;Alvinlândia; 0,3365 
3501608;Americana; 0,4816 
3501905;Amparo; 0,4776 
3501707;Américo Brasiliense; 0,3809 
3501806;Américo de Campos; 0,3653 
3502002;Analândia; 0,3480 
3502101;Andradina; 0,4359 
3502200;Angatuba; 0,3626 
3502309;Anhembi; 0,3285 
3502408;Anhumas; 0,3450 
3502507;Aparecida; 0,3819 
3502606;Aparecida d'Oeste; 0,2951 
3502705;Apiaí; 0,3591 
3503000;Aramina; 0,3581 
3503109;Arandu; 0,3376 
3503158;Arapeí; 0,3549 
3503208;Araraquara; 0,4534 
3503307;Araras; 0,3917 
3502754;Araçariguama; 0,3782 
3502804;Araçatuba; 0,4436 
3502903;Araçoiaba da Serra; 0,4130 
3503356;Arco-Íris; 0,3263 
3503406;Arealva; 0,3322 
3503505;Areias; 0,2895 
3503604;Areiópolis; 0,3297 
3503703;Ariranha; 0,3567 
3503802;Artur Nogueira; 0,4306 
3503901;Arujá; 0,4191 
3503950;Aspásia; 0,3564 
3504008;Assis; 0,3918 
3504107;Atibaia; 0,4282 
3504206;Auriflama; 0,3767 
3504404;Avanhandava; 0,2986 
3504503;Avaré; 0,3934 
3504305;Avaí; 0,2967 
3504602;Bady Bassitt; 0,3863 
3504701;Balbinos; 0,2780 
3504909;Bananal; 0,3562 
3505104;Barbosa; 0,3163 
3505203;Bariri; 0,3960 
3505302;Barra Bonita; 0,4083 
3505351;Barra do Chapéu; 0,2874 
3505401;Barra do Turvo; 0,2856 
3505500;Barretos; 0,4614 
3505609;Barrinha; 0,3557 
3505708;Barueri; 0,5632 
3505005;Barão de Antonina; 0,3391 
3505807;Bastos; 0,3670 
3505906;Batatais; 0,4090 
3506003;Bauru; 0,4962 
3506102;Bebedouro; 0,4431 
3506201;Bento de Abreu; 0,3089 
3506300;Bernardino de Campos; 0,3699 
3506359;Bertioga; 0,3677 
3506409;Bilac; 0,3849 
3506508;Birigui; 0,4195 
3506607;Biritiba-Mirim; 0,3213 
3506706;Boa Esperança do Sul; 0,3069 
3506805;Bocaina; 0,4062 
3506904;Bofete; 0,3440 
3507001;Boituva; 0,4314 
3507100;Bom Jesus dos Perdões; 0,3642 
3507159;Bom Sucesso de Itararé; 0,2929 
3507308;Boracéia; 0,3986 
3507407;Borborema; 0,3678 
3507456;Borebi; 0,3135 
3507209;Borá; 0,3482 
3507506;Botucatu; 0,4438 
3507605;Bragança Paulista; 0,4288 
3507704;Braúna; 0,3757 
3507753;Brejo Alegre; 0,3470 
3507803;Brodowski; 0,3545 
3507902;Brotas; 0,4330 
3508009;Buri; 0,3453 
3508108;Buritama; 0,3763 
3508207;Buritizal; 0,3615 
3504800;Bálsamo; 0,3536 
3508405;Cabreúva; 0,4059 
3508306;Cabrália Paulista; 0,3432 
3508603;Cachoeira Paulista; 0,3513 
3508702;Caconde; 0,3672 
3508801;Cafelândia; 0,3704 
3508900;Caiabu; 0,3428 
3509007;Caieiras; 0,4352 
3509106;Caiuá; 0,3418 
3509205;Cajamar; 0,4463 
3509254;Cajati; 0,3649 
3509304;Cajobi; 0,3454 
3509403;Cajuru; 0,3721 
3509452;Campina do Monte Alegre; 0,3333 
3509502;Campinas; 0,5790 
3509601;Campo Limpo Paulista; 0,3701 
3509809;Campos Novos Paulista; 0,3071 
3509700;Campos do Jordão; 0,3622 
3509908;Cananéia; 0,3482 
3509957;Canas; 0,3205 
3510153;Canitar; 0,3577 
3510302;Capela do Alto; 0,3272 
3510401;Capivari; 0,4120 
3510203;Capão Bonito; 0,3512 
3510500;Caraguatatuba; 0,4226 
3510609;Carapicuíba; 0,4214 
3510708;Cardoso; 0,3655 
3510807;Casa Branca; 0,3972 
3511003;Castilho; 0,3316 
3511102;Catanduva; 0,4488 
3511201;Catiguá; 0,3368 
3508504;Caçapava; 0,4111 
3511300;Cedral; 0,3642 
3511409;Cerqueira César; 0,3630 
3511508;Cerquilho; 0,3912 
3511607;Cesário Lange; 0,3637 
3511706;Charqueada; 0,3595 
3557204;Chavantes; 0,3392 
3511904;Clementina; 0,3117 
3512001;Colina; 0,3868 
3512100;Colômbia; 0,3454 
3512209;Conchal; 0,3650 
3512308;Conchas; 0,3616 
3512407;Cordeirópolis; 0,4147 
3512506;Coroados; 0,3602 
3512605;Coronel Macedo; 0,3796 
3512704;Corumbataí; 0,4055 
3512902;Cosmorama; 0,3515 
3512803;Cosmópolis; 0,3829 
3513009;Cotia; 0,5003 
3513108;Cravinhos; 0,3925 
3513207;Cristais Paulista; 0,3532 
3513405;Cruzeiro; 0,3954 
3513306;Cruzália; 0,3781 
3513504;Cubatão; 0,4079 
3513603;Cunha; 0,3342 
3510906;Cássia dos Coqueiros; 0,3672 
3510005;Cândido Mota; 0,4080 
3510104;Cândido Rodrigues; 0,3824 
3513702;Descalvado; 0,3666 
3513801;Diadema; 0,4957 
3513850;Dirce Reis; 0,2960 
3513900;Divinolândia; 0,3540 
3514007;Dobrada; 0,3457 
3514106;Dois Córregos; 0,3942 
3514205;Dolcinópolis; 0,3562 
3514304;Dourado; 0,3458 
3514403;Dracena; 0,4039 
3514502;Duartina; 0,3543 
3514601;Dumont; 0,3585 
3514700;Echaporã; 0,3711 
3514809;Eldorado; 0,2994 
3514908;Elias Fausto; 0,3633 
3514924;Elisiário; 0,3438 
3514957;Embaúba; 0,3866 
3515004;Embu das Artes; 0,4250 
3515103;Embu-Guaçu; 0,3970 
3515129;Emilianópolis; 0,3160 
3515152;Engenheiro Coelho; 0,3799 
3515186;Espírito Santo do Pinhal; 0,4082 
3515194;Espírito Santo do Turvo; 0,3662 
3557303;Estiva Gerbi; 0,3457 
3515202;Estrela d'Oeste; 0,3751 
3515301;Estrela do Norte; 0,3155 
3515350;Euclides da Cunha Paulista; 0,3013 
3515400;Fartura; 0,4101 
3515608;Fernando Prestes; 0,3600 
3515509;Fernandópolis; 0,4342 
3515657;Fernão; 0,3616 
3515707;Ferraz de Vasconcelos; 0,3837 
3515806;Flora Rica; 0,3133 
3515905;Floreal; 0,3520 
3516101;Florínia; 0,3289 
3516002;Flórida Paulista; 0,3521 
3516200;Franca; 0,4618 
3516309;Francisco Morato; 0,3564 
3516408;Franco da Rocha; 0,3747 
3516507;Gabriel Monteiro; 0,3446 
3516705;Garça; 0,4177 
3516804;Gastão Vidigal; 0,3520 
3516853;Gavião Peixoto; 0,3612 
3516903;General Salgado; 0,3680 
3517000;Getulina; 0,3377 
3517109;Glicério; 0,3423 
3517307;Guaimbê; 0,3396 
3517208;Guaiçara; 0,3493 
3517604;Guapiara; 0,3378 
3517505;Guapiaçu; 0,3716 
3517901;Guaraci; 0,3458 
3518008;Guarani d'Oeste; 0,3634 
3518107;Guarantã; 0,3080 
3518206;Guararapes; 0,3829 
3518305;Guararema; 0,4131 
3518404;Guaratinguetá; 0,4072 
3517802;Guaraçaí; 0,3411 
3518503;Guareí; 0,3308 
3518602;Guariba; 0,3955 
3518701;Guarujá; 0,4396 
3518800;Guarulhos; 0,4824 
3517703;Guará; 0,3792 
3518859;Guatapará; 0,3281 
3517406;Guaíra; 0,4074 
3518909;Guzolândia; 0,3332 
3516606;Gália; 0,3362 
3519006;Herculândia; 0,3005 
3519055;Holambra; 0,4264 
3519071;Hortolândia; 0,4384 
3519105;Iacanga; 0,3548 
3519204;Iacri; 0,3504 
3519253;Iaras; 0,2799 
3519303;Ibaté; 0,3607 
3519501;Ibirarema; 0,3794 
3519402;Ibirá; 0,4149 
3519600;Ibitinga; 0,3996 
3519709;Ibiúna; 0,3237 
3519808;Icém; 0,3543 
3519907;Iepê; 0,3577 
3520103;Igarapava; 0,3800 
3520202;Igaratá; 0,3989 
3520004;Igaraçu do Tietê; 0,3840 
3520301;Iguape; 0,3371 
3520426;Ilha Comprida; 0,3721 
3520442;Ilha Solteira; 0,4243 
3520400;Ilhabela; 0,4146 
3520509;Indaiatuba; 0,4791 
3520608;Indiana; 0,3663 
3520707;Indiaporã; 0,3656 
3520806;Inúbia Paulista; 0,3624 
3520905;Ipaussu; 0,3999 
3521002;Iperó; 0,3359 
3521101;Ipeúna; 0,3989 
3521150;Ipiguá; 0,3562 
3521200;Iporanga; 0,3238 
3521309;Ipuã; 0,3603 
3521408;Iracemápolis; 0,4108 
3521606;Irapuru; 0,3504 
3521507;Irapuã; 0,3491 
3521705;Itaberá; 0,3187 
3521903;Itajobi; 0,3935 
3522000;Itaju; 0,3813 
3522109;Itanhaém; 0,3593 
3522208;Itapecerica da Serra; 0,4099 
3522307;Itapetininga; 0,3746 
3522406;Itapeva; 0,3974 
3522505;Itapevi; 0,3957 
3522604;Itapira; 0,4510 
3522653;Itapirapuã Paulista; 0,2526 
3522802;Itaporanga; 0,3331 
3523008;Itapura; 0,3301 
3522901;Itapuí; 0,3394 
3523107;Itaquaquecetuba; 0,3651 
3523206;Itararé; 0,3526 
3523305;Itariri; 0,2676 
3523404;Itatiba; 0,4655 
3523503;Itatinga; 0,3623 
3521804;Itaí; 0,3553 
3522158;Itaóca; 0,3215 
3523602;Itirapina; 0,3599 
3523701;Itirapuã; 0,3717 
3523800;Itobi; 0,3310 
3523909;Itu; 0,4219 
3524006;Itupeva; 0,4142 
3524105;Ituverava; 0,3912 
3522703;Itápolis; 0,4084 
3524204;Jaborandi; 0,3510 
3524303;Jaboticabal; 0,4029 
3524402;Jacareí; 0,4073 
3524501;Jaci; 0,3155 
3524600;Jacupiranga; 0,3496 
3524709;Jaguariúna; 0,4663 
3524808;Jales; 0,4123 
3524907;Jambeiro; 0,3986 
3525003;Jandira; 0,4169 
3525102;Jardinópolis; 0,4148 
3525201;Jarinu; 0,3758 
3525300;Jaú; 0,4628 
3525409;Jeriquara; 0,3601 
3525508;Joanópolis; 0,3614 
3525706;José Bonifácio; 0,3981 
3525607;João Ramalho; 0,3462 
3525854;Jumirim; 0,3824 
3525904;Jundiaí; 0,5252 
3526001;Junqueirópolis; 0,3774 
3526209;Juquitiba; 0,3222 
3526100;Juquiá; 0,3299 
3525805;Júlio Mesquita; 0,3087 
3526308;Lagoinha; 0,3593 
3526407;Laranjal Paulista; 0,3744 
3526605;Lavrinhas; 0,3281 
3526506;Lavínia; 0,3476 
3526704;Leme; 0,4094 
3526803;Lençóis Paulista; 0,4194 
3526902;Limeira; 0,4929 
3527009;Lindóia; 0,3785 
3527108;Lins; 0,4222 
3527207;Lorena; 0,4003 
3527256;Lourdes; 0,3563 
3527306;Louveira; 0,4285 
3527504;Lucianópolis; 0,3709 
3527405;Lucélia; 0,3504 
3527702;Luiziânia; 0,3149 
3527801;Lupércio; 0,3345 
3527900;Lutécia; 0,3312 
3527603;Luís Antônio; 0,3386 
3528007;Macatuba; 0,3730 
3528106;Macaubal; 0,3483 
3528205;Macedônia; 0,3946 
3528304;Magda; 0,3303 
3528403;Mairinque; 0,3652 
3528502;Mairiporã; 0,4161 
3528601;Manduri; 0,3836 
3528700;Marabá Paulista; 0,2775 
3528809;Maracaí; 0,3799 
3528858;Marapoama; 0,3618 
3529104;Marinópolis; 0,3347 
3528908;Mariápolis; 0,3080 
3529203;Martinópolis; 0,3579 
3529005;Marília; 0,4656 
3529302;Matão; 0,4017 
3529401;Mauá; 0,4572 
3529500;Mendonça; 0,3318 
3529609;Meridiano; 0,3314 
3529658;Mesópolis; 0,3438 
3529708;Miguelópolis; 0,3683 
3529807;Mineiros do Tietê; 0,4176 
3530003;Mira Estrela; 0,3634 
3529906;Miracatu; 0,3338 
3530102;Mirandópolis; 0,3391 
3530201;Mirante do Paranapanema; 0,3047 
3530300;Mirassol; 0,3981 
3530409;Mirassolândia; 0,3496 
3530508;Mococa; 0,4117 
3530706;Mogi Guaçu; 0,4119 
3530805;Mogi Mirim; 0,4244 
3530607;Mogi das Cruzes; 0,4392 
3530904;Mombuca; 0,3353 
3531100;Mongaguá; 0,3866 
3531209;Monte Alegre do Sul; 0,3900 
3531308;Monte Alto; 0,4078 
3531407;Monte Aprazível; 0,3935 
3531506;Monte Azul Paulista; 0,3805 
3531605;Monte Castelo; 0,3349 
3531803;Monte Mor; 0,3725 
3531704;Monteiro Lobato; 0,3683 
3531001;Monções; 0,3510 
3531902;Morro Agudo; 0,3520 
3532009;Morungaba; 0,4042 
3532058;Motuca; 0,3608 
3532108;Murutinga do Sul; 0,3700 
3532157;Nantes; 0,3438 
3532207;Narandiba; 0,3521 
3532306;Natividade da Serra; 0,3240 
3532405;Nazaré Paulista; 0,3608 
3532504;Neves Paulista; 0,3583 
3532603;Nhandeara; 0,3792 
3532702;Nipoã; 0,3532 
3532801;Nova Aliança; 0,3273 
3532827;Nova Campina; 0,3191 
3532843;Nova Canaã Paulista; 0,3319 
3532868;Nova Castilho; 0,3393 
3532900;Nova Europa; 0,3212 
3533007;Nova Granada; 0,3423 
3533106;Nova Guataporanga; 0,3355 
3533205;Nova Independência; 0,3127 
3533304;Nova Luzitânia; 0,3500 
3533403;Nova Odessa; 0,4120 
3533254;Novais; 0,3337 
3533502;Novo Horizonte; 0,3895 
